Id,Score
1,100
3,29
4,66
7,10
9,39
12,13
13,168
16,34
18,6
20,8
22,5
23,11
25,6
26,35
38,8
39,110
41,7
42,22
44,73
49,55
50,2
52,1
53,39
54,2
55,1
56,32
57,84
59,20
61,1
62,27
63,10
64,1
66,129
68,5
69,184
70,12
72,249
73,15
76,25
79,95
80,9
81,5
82,232
86,1
87,30
89,10
90,6
94,27
95,35
96,38
98,16
102,9
103,1
104,13
108,2
110,19
111,8
123,2
125,20
128,12
133,6
134,10
135,58
142,24
143,138
145,1
146,31
148,0
149,5
152,4
153,9
155,29
157,20
158,3
163,20
165,31
170,9
171,17
172,2
174,7
177,17
178,104
182,20
185,3
186,2
188,14
189,7
190,6
192,18
194,0
196,5
197,21
198,3
199,3
201,7
203,0
204,1
205,112
206,30
209,4
211,27
214,14
215,10
216,3
220,119
221,20
223,7
225,7
227,26
228,62
235,38
247,23
248,26
249,0
252,55
254,2
256,2
257,23
259,26
262,41
263,11
267,117
268,6
269,17
271,3
273,1
276,0
278,3
283,8
284,11
285,42
286,25
289,105
294,152
298,77
299,3
303,14
304,4
308,2
312,2
317,4
319,10
324,-4
325,8
332,7
348,27
351,10
356,4
362,6
363,22
368,61
370,115
372,12
384,30
385,5
392,5
394,36
397,5
404,18
406,4
407,21
408,4
409,132
414,29
416,4
417,-3
418,18
423,3
425,8
440,50
451,9
454,1
462,59
467,5
472,12
482,110
487,38
491,6
492,38
493,0
496,37
498,31
499,3
500,45
501,27
502,7
503,34
504,33
506,16
507,14
509,42
511,7
512,18
514,20
517,23
518,28
519,39
520,0
521,30
524,25
536,10
551,21
553,3
557,3
558,32
563,6
564,53
566,23
568,14
569,10
570,14
572,8
573,42
576,4
578,-1
580,1
581,0
584,8
588,7
590,14
594,3
604,56
605,6
606,40
607,1
608,3
609,2
613,29
616,23
619,46
620,5
621,2
623,22
626,3
628,1
635,2
644,1
648,492
653,9
656,3
657,41
678,30
682,80
685,6
689,8
690,3
705,1
706,32
714,7
716,286
717,15
719,141
724,24
727,11
728,15
729,106
730,-2
731,23
732,18
739,11
740,16
745,25
747,3
748,13
749,2
750,90
754,87
756,167
759,30
760,2
762,2
763,3
764,281
768,9
771,0
775,17
776,7
778,21
779,38
780,15
781,5
782,33
783,16
784,18
785,15
786,3
788,14
791,17
795,7
799,44
800,28
801,22
803,13
805,59
806,5
808,11
809,0
810,55
811,28
812,18
814,8
816,82
820,119
824,13
827,18
829,3
832,18
833,4
835,4
838,4
841,25
842,5
843,7
844,126
850,3
851,8
854,3
859,77
863,1
864,11
866,10
868,11
870,58
871,19
872,70
874,12
875,4
876,2
877,28
878,4
879,30
888,2
891,18
900,2
901,3
906,39
907,11
908,6
909,8
910,33
911,2
934,8
937,26
940,41
941,2
942,81
946,11
949,25
950,72
952,25
953,0
966,57
973,7
978,25
980,11
981,1
982,6
984,4
985,43
986,55
988,11
991,8
992,3
993,1
999,5
1001,6
1007,8
1009,17
1012,1
1016,5
1025,4
1031,3
1044,7
1058,10
1059,16
1060,17
1063,5
1065,2
1066,6
1068,1
1069,9
1070,1
1071,4
1072,0
1079,1
1081,-1
1083,17
1084,4
1090,18
1091,4
1092,60
1094,16
1095,31
1096,44
1099,31
1100,3
1101,26
1106,30
1107,12
1111,6
1112,8
1113,2
1117,41
1121,3
1122,1
1123,21
1124,11
1125,4
1128,18
1129,7
1132,39
1133,6
1134,112
1135,20
1136,12
1151,18
1152,22
1161,10
1163,2
1165,6
1168,1
1173,57
1174,4
1175,48
1176,30
1180,18
1181,5
1182,8
1183,1
1185,19
1188,1
1189,52
1193,12
1195,4
1196,67
1198,6
1199,7
1200,19
1205,10
1217,22
1218,11
1222,5
1224,66
1225,2
1228,6
1229,12
1230,27
1232,2
1233,1
1238,10
1241,24
1242,6
1243,0
1247,2
1252,12
1262,30
1268,0
1270,17
1280,14
1282,0
1283,0
1285,16
1292,16
1296,11
1297,30
1300,2
1323,29
1325,2
1326,1
1327,1
1328,8
1333,34
1338,78
1339,38
1340,131
1343,6
1346,10
1359,34
1371,64
1372,8
1373,36
1375,37
1376,22
1378,24
1379,2
1380,31
1381,50
1382,18
1383,0
1385,49
1386,44
1387,6
1388,4
1389,0
1391,32
1392,33
1395,70
1397,40
1399,12
1400,40
1401,9
1417,0
1429,50
1435,5
1439,44
1444,1
1446,1
1448,97
1453,3
1456,5
1462,0
1471,3
1472,1
1474,6
1477,20
1483,94
1489,7
1491,6
1498,81
1503,9
1505,54
1507,45
1512,23
1514,9
1515,1
1516,11
1518,7
1519,20
1522,12
1523,23
1525,3
1532,0
1533,110
1534,4
1537,4
1539,3
1543,2
1544,-5
1546,4
1547,1
1550,4
1553,14
1554,56
1559,1
1565,5
1566,1
1567,3
1568,70
1569,9
1571,98
1572,1
1573,85
1574,18
1575,17
1576,17
1577,70
1578,10
1579,28
1581,1
1584,22
1585,5
1586,23
1587,3
1588,39
1589,6
1591,42
1592,39
1593,21
1595,17
1596,19
1597,37
1604,13
1605,12
1607,0
1614,0
1617,34
1620,11
1624,0
1629,4
1633,2
1636,16
1638,0
1641,8
1643,6
1645,2
1653,32
1655,14
1660,56
1665,5
1672,5
1674,12
1675,9
1677,4
1680,21
1681,2
1687,22
1688,8
1689,11
1700,2
1701,18
1703,13
1712,1
1714,1
1719,19
1724,7
1727,10
1728,4
1732,4
1736,3
1738,2
1740,4
1741,7
1742,0
1745,101
1750,26
1751,1
1752,12
1753,0
1754,16
1755,3
1756,0
1757,2
1758,5
1759,6
1760,42
1761,5
1762,4
1764,45
1765,33
1770,3
1771,50
1773,1
1775,1
1776,51
1779,132
1781,13
1784,10
1785,52
1786,0
1788,42
1789,13
1790,16
1792,21
1793,25
1795,25
1796,9
1797,2
1798,5
1801,7
1803,1
1805,69
1806,26
1807,69
1809,31
1810,6
1811,96
1816,0
1819,272
1820,11
1821,86
1824,4
1825,20
1829,13
1830,21
1836,6
1841,10
1842,93
1844,19
1845,3
1846,84
1847,267
1848,28
1849,17
1850,27
1851,63
1853,12
1855,5
1858,12
1862,5
1870,50
1872,158
1876,1
1877,6
1882,25
1885,5
1889,13
1890,23
1892,2
1895,261
1899,39
1900,11
1901,76
1903,1
1904,1
1907,27
1908,3
1909,95
1910,114
1911,23
1912,10
1915,13
1917,34
1918,1
1927,1
1929,0
1930,28
1931,16
1932,2
1937,103
1938,6
1940,1
1941,2
1942,32
1945,1
1947,34
1950,2
1955,9
1956,3
1957,1
1961,1
1965,14
1968,5
1969,3
1971,4
1973,1
1979,9
1980,20
1981,1
1988,2
1989,13
1993,38
1995,14
1997,7
1998,1
2002,29
2003,8
2010,8
2012,1
2016,4
2018,6
2021,11
2024,32
2028,2
2031,4
2032,2
2035,14
2037,76
2041,3
2042,23
2044,6
2045,42
2049,4
2050,33
2051,101
2054,73
2056,31
2058,47
2059,90
2061,4
2067,14
2068,19
2071,72
2072,53
2075,3
2077,9
2078,19
2079,19
2086,3
2087,0
2090,10
2092,49
2093,36
2094,59
2097,6
2100,3
2103,15
2104,2
2106,33
2107,12
2120,1
2139,15
2164,17
2166,3
2168,1
2169,37
2176,5
2179,17
2183,2
2185,4
2186,31
2187,23
2192,12
2193,0
2204,15
2207,15
2208,26
2211,28
2224,6
2225,3
2226,17
2230,17
2231,25
2236,8
2237,0
2241,14
2244,0
2247,15
2252,35
2259,8
2263,1
2268,1
2276,2
2277,12
2278,4
2279,33
2283,34
2285,29
2288,1
2311,15
2316,3
2326,24
2329,6
2331,20
2332,10
2334,21
2341,44
2343,20
2344,-4
2345,38
2346,0
2348,1
2349,1
2351,4
2353,12
2365,0
2369,22
2372,1
2373,12
2374,6
2375,15
2382,1
2383,21
2384,24
2385,10
2388,7
2392,-1
2394,184
2410,30
2411,16
2412,4
2418,6
2421,20
2431,14
2436,1
2437,5
2444,2
2450,33
2455,0
2458,2
2471,4
2472,0
2482,4
2484,50
2489,5
2494,0
2497,10
2509,15
2514,18
2518,18
2521,40
2527,-1
2531,3
2532,-6
2534,24
2535,5
2537,-4
2540,2
2543,44
2553,52
2556,1
2557,-1
2560,1
2564,21
2579,21
2585,5
2594,12
2604,2
2605,2
2606,2
2607,1
2609,6
2610,61
2612,18
2621,14
2629,2
2630,49
2633,2
2639,14
2644,52
2648,95
2652,0
2654,30
2655,6
2656,5
2660,3
2663,7
2671,2
2673,4
2675,31
2676,1
2678,42
2679,26
2680,1
2682,21
2683,2
2686,13
2687,22
2688,3
2690,46
